# Matter power spectrum P(k) at redshift z=2 to z=4
# for k=1.04064e-05 to 16.51 h/Mpc,
# number of wavenumbers equal to 124
# 0:z   1:k (h/Mpc)              2:P (Mpc/h)^3
4.0     2.613965827982e-05      7.440120517708e+00
4.0     3.290788006409e-05      9.294944865015e+00
4.0     4.142856646095e-05      1.161212825993e+01
4.0     5.215547509190e-05      1.450687644793e+01
4.0     6.565985295739e-05      1.812305345214e+01
4.0     8.266085742272e-05      2.264026500185e+01
4.0     1.040638539702e-04      2.828264587942e+01
4.0     1.310086302123e-04      3.532972097280e+01
4.0     1.649300937386e-04      4.412973816373e+01
4.0     2.076346861771e-04      5.511586911573e+01
4.0     2.613965827982e-04      6.882556150659e+01
4.0     3.290788006409e-04      8.592301424870e+01
4.0     4.142856646095e-04      1.072240548567e+02
4.0     5.215547509190e-04      1.337213785179e+02
4.0     6.565985295739e-04      1.666059245742e+02
4.0     8.266085742272e-04      2.072772686719e+02
4.0     1.040638539702e-03      2.573334868904e+02
4.0     1.310086302123e-03      3.185313516386e+02
4.0     1.649300937386e-03      3.926992254497e+02
4.0     2.076346861771e-03      4.816239460026e+02
4.0     2.613965827982e-03      5.867651217473e+02
4.0     3.290788006409e-03      7.088132658689e+02
4.0     4.142856646095e-03      8.471189553276e+02
4.0     5.215547509190e-03      9.989339966171e+02
4.0     6.565985295739e-03      1.158496842798e+03
4.0     8.266085742272e-03      1.316006654006e+03
4.0     1.040638539702e-02      1.456629865629e+03
4.0     1.310086302123e-02      1.559864137733e+03
4.0     1.649300937383e-02      1.600604145047e+03
4.0     2.076346845758e-02      1.554092064817e+03
4.0     2.613953535810e-02      1.408745364424e+03
4.0     3.289074948932e-02      1.186676087294e+03
4.0     4.085496948384e-02      9.641327287058e+02
4.0     4.758645817065e-02      8.364721299358e+02
4.0     5.246534223406e-02      7.738459772227e+02
4.0     5.648595286818e-02      7.348579787760e+02
4.0     6.007449462291e-02      7.054478531664e+02
4.0     6.342071539796e-02      6.797435783412e+02
4.0     6.662494229477e-02      6.547980772000e+02
4.0     6.974728753551e-02      6.290325721078e+02
4.0     7.282721459431e-02      6.016927091252e+02
4.0     7.589252360485e-02      5.725919344268e+02
4.0     7.896394793143e-02      5.419716903744e+02
4.0     8.205770709328e-02      5.103904405373e+02
4.0     8.518701887277e-02      4.786237534769e+02
4.0     8.836304229388e-02      4.475558478148e+02
4.0     9.159549089029e-02      4.180748013036e+02
4.0     9.489304557728e-02      3.909725787123e+02
4.0     9.826364067105e-02      3.668605327076e+02
4.0     1.017146667450e-01      3.461051812876e+02
4.0     1.052531172684e-01      3.287871514003e+02
4.0     1.088856962014e-01      3.146917126199e+02
4.0     1.126188978196e-01      3.033102404323e+02
4.0     1.164590663788e-01      2.938790584739e+02
4.0     1.204124408947e-01      2.854436368253e+02
4.0     1.244851888030e-01      2.769747068138e+02
4.0     1.286834312658e-01      2.675233534373e+02
4.0     1.330132622335e-01      2.564092931147e+02
4.0     1.374807629271e-01      2.433834936351e+02
4.0     1.420920131156e-01      2.287089114756e+02
4.0     1.468531003701e-01      2.131170855416e+02
4.0     1.517701283501e-01      1.976344061109e+02
